acc_lookback,w_mom,full_sh,full_ann,full_mdd,full_end,oos_sh,oos_ann,oos_mdd,oos_end
42,0.5,1.582,0.5441,-0.3944,1538748.0,1.513,0.5953,-0.3753,172635.0
21,0.5,1.546,0.5319,-0.3751,1421291.0,1.559,0.6169,-0.3751,183712.0
42,0.7,1.526,0.5277,-0.3991,1382441.0,1.508,0.597,-0.3818,173481.0
42,0.6,1.514,0.521,-0.4019,1323113.0,1.426,0.561,-0.3753,156180.0
10,0.5,1.447,0.4937,-0.3957,1104075.0,1.406,0.5477,-0.3957,150109.0
21,0.6,1.443,0.5025,-0.3994,1170811.0,1.485,0.5921,-0.3818,171056.0
21,0.7,1.37,0.4772,-0.3974,987924.0,1.423,0.5681,-0.3886,159453.0
10,0.6,1.343,0.4619,-0.3928,890618.0,1.375,0.54,-0.3886,146697.0
42,0.8,1.33,0.4602,-0.4225,879952.0,1.319,0.52,-0.3818,138137.0
10,0.7,1.309,0.452,-0.3968,831955.0,1.367,0.5375,-0.3886,145619.0
10,0.8,1.295,0.4466,-0.3968,801503.0,1.348,0.5304,-0.3886,142538.0
21,0.8,1.29,0.4451,-0.3974,792938.0,1.264,0.497,-0.3886,128717.0
10,0.9,1.285,0.4423,-0.3968,777705.0,1.357,0.5333,-0.3619,143783.0
21,0.9,1.258,0.4359,-0.3968,743925.0,1.284,0.508,-0.3886,133176.0
42,0.9,1.222,0.4207,-0.399,668895.0,1.226,0.4805,-0.3886,122328.0
