rank,symbol,score,price,target_usd,shares_fractional,shares_whole
1,MRVL,1.3765838824125698,237.04,1000.0,4.2187,4
2,NBIS,1.235121493132997,219.13,1000.0,4.5635,4
3,HPE,1.225836431226766,53.45,1000.0,18.7091,18
4,DVA,1.1958112310224984,173.82,1000.0,5.7531,5
5,WDC,1.1773568317148224,459.44,1000.0,2.1766,2
6,STX,1.0999533959626189,850.0,1000.0,1.1765,1
7,AMD,1.0113631563384446,473.25,1000.0,2.113,2
8,FTNT,0.9929854787103123,153.51,1000.0,6.5142,6
9,MU,0.9837784419591207,966.78,1000.0,1.0344,1
10,INTC,0.941037228319346,90.07,1000.0,11.1025,11
11,PANW,0.8750635700966265,357.87,1000.0,2.7943,2
12,HUM,0.8640368852459017,378.88,1000.0,2.6394,2
13,NTAP,0.8526206538661132,192.27,1000.0,5.201,5
14,LITE,0.8220191915067376,866.71,1000.0,1.1538,1
15,FLEX,0.8044098984771575,110.45,1000.0,9.0539,9
16,MPC,0.7961859356376642,360.72,1000.0,2.7722,2
17,VLO,0.724632089511106,348.86,1000.0,2.8665,2
18,AMAT,0.5750496401092082,492.32,1000.0,2.0312,2
19,TER,0.525368180875337,375.74,1000.0,2.6614,2
20,FIX,0.5144820943875319,1655.61,1000.0,0.604,0
