rank,ticker,signal_date,momentum,accel,score,weight,price,alloc_usd,shares
1,MRVL,2026-08-21,1.5357,0.1324,0.8341,0.1,237.04,2000.0,8.437394532568343
2,STX,2026-08-21,1.6534,-0.0694,0.792,0.1,850.0,2000.0,2.3529411764705883
3,MU,2026-08-21,1.5448,-0.0237,0.7606,0.1,966.78,2000.0,2.068722977306109
4,HPE,2026-08-21,1.2664,0.122,0.6942,0.1,53.45,2000.0,37.418147801683816
5,LITE,2026-08-21,1.3001,0.0397,0.6699,0.1,866.71,2000.0,2.307576928845865
6,NBIS,2026-08-21,1.235,-0.0083,0.6133,0.1,219.13,2000.0,9.127002236115548
7,WDC,2026-08-21,1.308,-0.1771,0.5655,0.1,459.44,2000.0,4.353125544140693
8,AMD,2026-08-21,1.1605,-0.1231,0.5187,0.1,473.25,2000.0,4.226096143687269
9,FTNT,2026-08-21,1.0005,0.013,0.5068,0.1,153.51,2000.0,13.028467200833823
10,DVA,2026-08-21,1.2039,-0.258,0.4729,0.1,173.82,2000.0,11.506155793349443
