rank,ticker,sector,sector_peers,momentum,signal_date,weight,price,alloc_usd,shares
1,MU,板块1,NVR+MELI+ASML+FIX,3.0443222031463506,2026-07-31,0.1,971.66,2000.0,2.05833316180557
2,INTC,板块1,NVR+MELI+ASML+FIX,2.784010840108401,2026-07-31,0.1,102.5,2000.0,19.51219512195122
3,WDC,板块1,NVR+MELI+ASML+FIX,2.7076681952748594,2026-07-31,0.1,508.8,2000.0,3.930817610062893
4,DVA,板块0,AZO+LLY+COST+CASY,0.9582783205703722,2026-07-31,0.1,180.06,2000.0,11.107408641563923
5,VLO,板块8,TPL+MPC+VLO+TRGP,0.5998525707967322,2026-07-31,0.1,341.67,2000.0,5.853601428278748
6,MPC,板块8,TPL+MPC+VLO+TRGP,0.5720961692184714,2026-07-31,0.1,355.42,2000.0,5.627145349164369
7,CNC,板块9,UNH+ELV+HUM+CI,0.5599027946537058,2026-07-31,0.1,67.47,2000.0,29.642804209278196
8,HUM,板块9,UNH+ELV+HUM+CI,0.5508530824190843,2026-07-31,0.1,389.05,2000.0,5.140727412928929
9,TPL,板块8,TPL+MPC+VLO+TRGP,0.5237100480467931,2026-07-31,0.1,358.52,2000.0,5.578489345085351
10,CASY,板块0,AZO+LLY+COST+CASY,0.4379873713158797,2026-07-31,0.1,846.45,2000.0,2.36280938035324
