策略,full_ann,full_vol,full_sh,full_mdd,full_calmar,full_active,full_end,oos_ann,oos_vol,oos_sh,oos_mdd,oos_calmar,oos_active,oos_end
月频 仅名单变动>=2才换,0.5346,0.345,1.549,-0.3751,1.425,0.937,1446018.0,0.6077,0.3972,1.53,-0.3751,1.62,1.0,178955.0
月频等权 top10 (基线),0.5319,0.344,1.546,-0.3751,1.418,0.937,1421291.0,0.6169,0.3958,1.559,-0.3751,1.645,1.0,183712.0
月频 仅名单变动>=3才换,0.5199,0.3442,1.511,-0.3766,1.38,0.937,1313726.0,0.618,0.3951,1.564,-0.3556,1.738,1.0,184259.0
周频 变动>=2才换,0.4859,0.3464,1.403,-0.4008,1.212,0.941,1047578.0,0.5529,0.3992,1.385,-0.4008,1.379,1.0,152456.0
事件+vol25,0.2296,0.1641,1.399,-0.2048,1.121,0.941,157868.0,0.2643,0.1699,1.556,-0.1618,1.634,1.0,59031.0
事件:加速为负不持有,0.483,0.3466,1.394,-0.377,1.281,0.941,1027786.0,0.5731,0.401,1.429,-0.377,1.52,1.0,161857.0
事件:跌出前15卖/进前8买,0.483,0.3466,1.394,-0.377,1.281,0.941,1027786.0,0.5731,0.401,1.429,-0.377,1.52,1.0,161857.0
周频等权 top10,0.482,0.3477,1.386,-0.3857,1.25,0.941,1020578.0,0.5553,0.4017,1.382,-0.3857,1.44,1.0,153552.0
周频变动>=2+vol25,0.2245,0.164,1.369,-0.199,1.128,0.941,151484.0,0.2472,0.1704,1.451,-0.1617,1.529,1.0,55425.0
周频 排名加权,0.5122,0.3809,1.345,-0.4133,1.239,0.941,1248565.0,0.6074,0.4371,1.39,-0.4133,1.47,1.0,178788.0
周频 分数加权,0.5018,0.3779,1.328,-0.4094,1.226,0.94,1165455.0,0.5711,0.434,1.316,-0.4088,1.397,1.0,160911.0
周频 波动率倒数加权,0.4184,0.3249,1.288,-0.3824,1.094,0.941,658352.0,0.4623,0.3737,1.237,-0.3824,1.209,1.0,115546.0
