ticker,tranche,date,limit_price
MU,1,2026-08-23,952.23
MU,2,2026-08-24,932.79
MU,3,2026-08-25,913.36
INTC,1,2026-08-23,100.45
INTC,2,2026-08-24,98.4
INTC,3,2026-08-25,96.35
WDC,1,2026-08-23,498.62
WDC,2,2026-08-24,488.45
WDC,3,2026-08-25,478.27
MRVL,1,2026-08-23,217.58
MRVL,2,2026-08-24,213.14
MRVL,3,2026-08-25,208.7
STX,1,2026-08-23,953.97
STX,2,2026-08-24,934.5
STX,3,2026-08-25,915.03
NBIS,1,2026-08-23,272.13
NBIS,2,2026-08-24,266.57
NBIS,3,2026-08-25,261.02
GLW,1,2026-08-23,162.67
GLW,2,2026-08-24,159.35
GLW,3,2026-08-25,156.03
AMAT,1,2026-08-23,497.04
AMAT,2,2026-08-24,486.89
AMAT,3,2026-08-25,476.75
AMD,1,2026-08-23,504.1
AMD,2,2026-08-24,493.81
AMD,3,2026-08-25,483.53
FLEX,1,2026-08-23,123.64
FLEX,2,2026-08-24,121.11
FLEX,3,2026-08-25,118.59
