ticker,batch,date,action,limit_price,notional
MU,1,2026-08-23,buy,957.09,500.0
MU,2,2026-08-24,buy,942.51,500.0
MU,3,2026-08-25,buy,927.94,500.0
MU,4,2026-08-26,buy,913.36,500.0
INTC,1,2026-08-23,buy,100.96,500.0
INTC,2,2026-08-24,buy,99.42,500.0
INTC,3,2026-08-25,buy,97.89,500.0
INTC,4,2026-08-26,buy,96.35,500.0
WDC,1,2026-08-23,buy,501.17,500.0
WDC,2,2026-08-24,buy,493.54,250.0
WDC,3,2026-08-25,buy,485.9,250.0
WDC,4,2026-08-26,buy,478.27,250.0
DVA,1,2026-08-23,buy,177.36,500.0
DVA,2,2026-08-24,buy,174.66,500.0
DVA,3,2026-08-25,buy,171.96,500.0
DVA,4,2026-08-26,buy,169.26,500.0
VLO,1,2026-08-23,buy,336.54,500.0
VLO,2,2026-08-24,buy,331.42,500.0
VLO,3,2026-08-25,buy,326.29,500.0
VLO,4,2026-08-26,cash,321.17,0.0
MPC,1,2026-08-23,buy,350.09,500.0
MPC,2,2026-08-24,buy,344.76,500.0
MPC,3,2026-08-25,buy,339.43,500.0
MPC,4,2026-08-26,cash,334.09,0.0
CNC,1,2026-08-23,buy,66.46,500.0
CNC,2,2026-08-24,buy,65.45,500.0
CNC,3,2026-08-25,buy,64.43,500.0
CNC,4,2026-08-26,cash,63.42,0.0
HUM,1,2026-08-23,buy,383.21,500.0
HUM,2,2026-08-24,buy,377.38,500.0
HUM,3,2026-08-25,buy,371.54,500.0
HUM,4,2026-08-26,buy,365.71,500.0
TPL,1,2026-08-23,buy,353.14,500.0
TPL,2,2026-08-24,buy,347.76,500.0
TPL,3,2026-08-25,buy,342.39,500.0
TPL,4,2026-08-26,buy,337.01,500.0
CASY,1,2026-08-23,buy,833.75,500.0
CASY,2,2026-08-24,buy,821.06,500.0
CASY,3,2026-08-25,buy,808.36,500.0
CASY,4,2026-08-26,buy,795.66,500.0
