ticker,batch,date,action,limit_price,notional
MU,1,2026-08-24,buy,952.28,500.0
MU,2,2026-08-25,buy,937.78,500.0
MU,3,2026-08-26,buy,923.27,500.0
MU,4,2026-08-27,buy,908.77,500.0
WDC,1,2026-08-24,buy,452.55,500.0
WDC,2,2026-08-25,buy,445.66,500.0
WDC,3,2026-08-26,buy,438.77,500.0
WDC,4,2026-08-27,buy,431.87,500.0
INTC,1,2026-08-24,buy,88.72,500.0
INTC,2,2026-08-25,buy,87.37,500.0
INTC,3,2026-08-26,buy,86.02,500.0
INTC,4,2026-08-27,buy,84.67,500.0
STX,1,2026-08-24,buy,837.25,500.0
STX,2,2026-08-25,buy,824.5,500.0
STX,3,2026-08-26,buy,811.75,500.0
STX,4,2026-08-27,buy,799.0,500.0
MRVL,1,2026-08-24,buy,233.48,500.0
MRVL,2,2026-08-25,buy,229.93,500.0
MRVL,3,2026-08-26,buy,226.37,500.0
MRVL,4,2026-08-27,buy,222.82,500.0
NBIS,1,2026-08-24,buy,215.84,500.0
NBIS,2,2026-08-25,buy,212.56,500.0
NBIS,3,2026-08-26,buy,209.27,500.0
NBIS,4,2026-08-27,buy,205.98,500.0
AMD,1,2026-08-24,buy,466.15,500.0
AMD,2,2026-08-25,buy,459.05,500.0
AMD,3,2026-08-26,buy,451.95,500.0
AMD,4,2026-08-27,buy,444.85,500.0
AMAT,1,2026-08-24,buy,484.94,500.0
AMAT,2,2026-08-25,buy,477.55,500.0
AMAT,3,2026-08-26,buy,470.17,500.0
AMAT,4,2026-08-27,buy,462.78,500.0
GLW,1,2026-08-24,buy,147.59,500.0
GLW,2,2026-08-25,buy,145.34,500.0
GLW,3,2026-08-26,buy,143.1,500.0
GLW,4,2026-08-27,buy,140.85,500.0
FLEX,1,2026-08-24,buy,108.79,500.0
FLEX,2,2026-08-25,buy,107.14,500.0
FLEX,3,2026-08-26,buy,105.48,500.0
FLEX,4,2026-08-27,buy,103.82,500.0
