name,ann_ret,vol,sharpe,mdd,calmar,final_value,time_in_mkt,ann_turnover,ann_ret_f,vol_f,sharpe_f,mdd_f,calmar_f
STRAT|STOCK_6_top10,0.4225358617066741,0.3354749577968319,1.2595153584088605,-0.40357279595197615,1.04698796832915,673004.3473313701,0.9459029435163087,0.46190476190476193,42.3%,33.5%,1.26,-40.4%,1.05
STRAT|STOCK_6_top20,0.34529714622921914,0.2865012618455856,1.205220333079449,-0.35722395069701607,0.9666125285146046,385607.173424955,0.9459029435163087,0.45000000000000007,34.5%,28.7%,1.21,-35.7%,0.97
STRAT|STOCK_12-1_top10,0.3694555770179997,0.3544507206484992,1.0423327009804009,-0.4098840208366076,0.9013661383137356,460530.44272639044,0.8866348448687351,0.26000000000000006,36.9%,35.4%,1.04,-41.0%,0.90
BH|SPMO buy&hold,0.18918908771459164,0.20976225741942361,0.9019214897954901,-0.31312604086724005,0.6041946788922755,112654.21893025888,1.0,0.0,18.9%,21.0%,0.90,-31.3%,0.60
BH|QQQ buy&hold,0.2009019601162374,0.22534411017594827,0.891534107367499,-0.35617218247976423,0.5640585368500853,124225.99830076467,1.0,0.0,20.1%,22.5%,0.89,-35.6%,0.56
STRAT|ETF_6_top2,0.14569467781287515,0.17415025971815395,0.8366032760942675,-0.24750134409614,0.5886621680578881,77680.59612913989,0.9459029435163087,0.1875,14.6%,17.4%,0.84,-24.8%,0.59
STRAT|ETF_6_top3,0.13754037725948387,0.16842504059535807,0.8166266534554399,-0.2498907854882585,0.5504019565617253,72337.86090955975,0.9459029435163087,0.2777777777777778,13.8%,16.8%,0.82,-25.0%,0.55
BH|SPY buy&hold,0.13520440984835647,0.1801915639059564,0.750337068603949,-0.34104746704498434,0.3964386864381049,70869.5056825962,1.0,0.0,13.5%,18.0%,0.75,-34.1%,0.40
BH|QUAL buy&hold,0.1268796188186736,0.18131605408559198,0.6997704613557212,-0.34056729487911674,0.3725537382082126,65852.16503863537,1.0,0.0,12.7%,18.1%,0.70,-34.1%,0.37
BH|USMV buy&hold,0.08066818623003091,0.1457281826228525,0.5535524068038494,-0.3309889478972299,0.24371867019281232,43366.209262435674,1.0,0.0,8.1%,14.6%,0.55,-33.1%,0.24
STRAT|ETF_12-1_top2,0.09843733777571417,0.19060435840561482,0.516448514604451,-0.30771776441645426,0.31989488147487183,51028.40860801351,0.8866348448687351,0.2727272727272727,9.8%,19.1%,0.52,-30.8%,0.32
BH|IWM buy&hold,0.094977267462788,0.23044202389651877,0.4121525486403385,-0.42261010287827994,0.2247396993491737,49447.32576985413,1.0,0.0,9.5%,23.0%,0.41,-42.3%,0.22
STRAT|ETF_12-1_top3_trend10m_cash,0.05125008790941332,0.13761084566240522,0.37242767939340304,-0.29169728470722056,0.17569614321522925,32928.62803548535,0.7199681782020684,0.3333333333333333,5.1%,13.8%,0.37,-29.2%,0.18
STRAT|ETF_12-1_top3_trend10m_TLT,0.035476329168132814,0.16662746926821953,0.21290804765825685,-0.4048415064381675,0.08763016786558471,28318.566780100336,0.95266507557677,0.5833333333333333,3.5%,16.7%,0.21,-40.5%,0.09
