strategy,ann,vol,sharpe,mdd,calmar,final,active,turn,scale
StockMom6_top20,33.6%,28.7%,1.17,-35.7%,0.94,"$361,555",95%,30%,100%
StockMom6_top20_vol25,28.5%,24.5%,1.16,-35.7%,0.80,"$245,366",95%,29%,90%
StockMom12-1_top10,35.5%,35.6%,1.00,-41.0%,0.87,"$416,244",89%,21%,100%
StockMom6-1_accel_top10,52.4%,34.5%,1.52,-40.1%,1.31,"$1,351,050",94%,29%,100%
StockMom6-1_accel_top10_vol25,40.7%,26.2%,1.56,-35.0%,1.16,"$608,476",94%,25%,82%
StockMom12-1_accel_top10,39.7%,35.5%,1.12,-41.6%,0.95,"$563,877",89%,19%,100%
ETF_Mom6_top2,14.6%,17.4%,0.84,-24.8%,0.59,"$77,681",95%,19%,100%
ETF_Mom6_top2_vol15,11.7%,14.8%,0.79,-19.7%,0.59,"$60,150",95%,19%,87%
ETF_Mom6_top2_trend_cash,8.2%,15.0%,0.54,-26.3%,0.31,"$43,705",75%,19%,100%
ETF_Mom6_top2_trend_cash_vol12,6.4%,11.9%,0.54,-22.3%,0.29,"$37,144",75%,17%,83%
ETF_Mom12-1_top2,9.8%,19.1%,0.52,-30.8%,0.32,"$51,028",89%,17%,100%
ETF_Mom12-1_top2_trend_cash,3.7%,14.8%,0.25,-34.1%,0.11,"$28,621",72%,16%,100%
BH SPY,13.5%,18.0%,0.75,-34.1%,0.40,"$70,870",100%,0%,100%
BH QQQ,20.1%,22.5%,0.89,-35.6%,0.56,"$124,226",100%,0%,100%
BH IWM,9.5%,23.0%,0.41,-42.3%,0.22,"$49,447",100%,0%,100%
BH SPMO,18.9%,21.0%,0.90,-31.3%,0.60,"$112,654",100%,0%,100%
BH QUAL,12.7%,18.1%,0.70,-34.1%,0.37,"$65,852",100%,0%,100%
BH USMV,8.1%,14.6%,0.55,-33.1%,0.24,"$43,366",100%,0%,100%
BH VLUE,12.1%,20.1%,0.60,-39.5%,0.31,"$62,592",100%,0%,100%
